route_id,route,capsid_id,capsid,organ,current_dose_vg,current_dose_vg_per_kg,current_auc_isf_amount_vg_h,reference_id,reference_product,reference_auc_isf_amount_vg_h,conservative_reference_auc_isf_amount_vg_h,exposure_margin_reference_over_current,conservative_margin_over_current,assessment,evidence_grade,inference_class,uncertainty_factor,comparator_scope,evidence_note,source_url
iv,Peripheral intravenous,aav8,AAV8,muscle,2800000000000000.0,40000000000000.0,5911635498753092.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,295581774937654.6,221686331203240.97,0.05,0.037500000000000006,exceeds-conservative-contextual-upper-bound,low,clinical-same-capsid-route,0.75,clinical same capsid route,clinical-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav8,AAV8,rest,2800000000000000.0,40000000000000.0,7023886649472694.0,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,351194332473634.75,263395749355226.06,0.05000000000000001,0.037500000000000006,exceeds-conservative-contextual-upper-bound,low,clinical-same-capsid-route,0.75,clinical same capsid route,clinical-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav8,AAV8,spleen,2800000000000000.0,40000000000000.0,150213374720445.88,aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,7510668736022.294,5633001552016.721,0.05,0.037500000000000006,exceeds-conservative-contextual-upper-bound,low,clinical-same-capsid-route,0.75,clinical same capsid route,clinical-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://doi.org/10.1056/NEJMoa2414783
iv,Peripheral intravenous,aav9,AAV9,brain,2800000000000000.0,40000000000000.0,22232626802797.824,zolgensma_iv,ZOLGENSMA (onasemnogene abeparvovec-xioi),61139723707694.016,45854792780770.516,2.75,2.0625,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/126109/download
iv,Peripheral intravenous,aav9,AAV9,heart,2800000000000000.0,40000000000000.0,177123518776453.56,zolgensma_iv,ZOLGENSMA (onasemnogene abeparvovec-xioi),487089676635247.3,365317257476435.5,2.75,2.0625,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/126109/download
iv,Peripheral intravenous,aav9,AAV9,kidney,2800000000000000.0,40000000000000.0,299166136428406.9,zolgensma_iv,ZOLGENSMA (onasemnogene abeparvovec-xioi),822706875178118.9,617030156383589.1,2.75,2.0625,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/126109/download
iv,Peripheral intravenous,aav9,AAV9,liver,2800000000000000.0,40000000000000.0,2151364520833851.0,zolgensma_iv,ZOLGENSMA (onasemnogene abeparvovec-xioi),5916252432293090.0,4437189324219817.5,2.75,2.0625,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/126109/download
iv,Peripheral intravenous,aav9,AAV9,lung,2800000000000000.0,40000000000000.0,900766217406458.0,zolgensma_iv,ZOLGENSMA (onasemnogene abeparvovec-xioi),2477107097867759.5,1857830323400819.5,2.75,2.0625,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/126109/download
iv,Peripheral intravenous,aav9,AAV9,muscle,2800000000000000.0,40000000000000.0,6163457995229330.0,zolgensma_iv,ZOLGENSMA (onasemnogene abeparvovec-xioi),1.6949509486880658e+16,1.2712132115160494e+16,2.75,2.0625,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/126109/download
iv,Peripheral intravenous,aav9,AAV9,rest,2800000000000000.0,40000000000000.0,7609393746901534.0,zolgensma_iv,ZOLGENSMA (onasemnogene abeparvovec-xioi),2.092583280397922e+16,1.5694374602984416e+16,2.75,2.0625000000000004,below-conservative-contextual-upper-bound,moderate,approved-same-capsid-route,0.75,approved same capsid route,approved-same-capsid-route; 0.75 evidence haircut applied to the PBPK-projected disclosed-dose organ AUC,https://www.fda.gov/media/126109/download
